div_text;label;city;place
انتقال المطعم للكورنيش اجبرونا ندفع رسوم الدخول الشخص زيادة الاماكن رسوم بالنسبة دفعت اطلب اساسالان عائلتي كبيرة ومعنا المطعم ممتاز كطعم ادفع مبلغ حق عشا اطلب مصيبة اخر مره ازوره;0;الدمام;القرية الشعبية
عتبت عليهم امور اولا الدخول الرسوم تفرض الزبائن والمفترض يريد المتحف اللي يبي ياكل ويطلع يؤخذ رسوم;0;الدمام;القرية الشعبية
المطعم مبالغ بأسعاره رسوم دخول رسوم داخل المطعم الجلسات ولأيويد تجديد بالمنيو;0;الدمام;القرية الشعبية
الدخول للفرد الجلسة;2;الدمام;القرية الشعبية
الدخول غرفة الطعام بدون اكل طريقة جشعة لا انصح الذهاب الية يعدلون سياسة المطعم;0;الدمام;القرية الشعبية
والتأخير تجهيز الطلبات المعقول;0;الدمام;القرية الشعبية
المطعم افضل ناحية الاستقبال والخدمة والنظافة ????;1;الدمام;القرية الشعبية
سيئة يحسب الدخول النفر الواحد يعني تدخل انت عائلتك تدفع مرتين تدفع دخول وتدفع عشاء;0;الدمام;القرية الشعبية
صراحه امور مناسبه شي قائمه الطعام تقدر تقول طلبات رئيسيه موجوده;0;الدمام;القرية الشعبية
الاسعار مقارنة بحودة الاكل لا تستحق الزيادة مره بالنسبة;0;الدمام;القرية الشعبية
وماقي شي مميز;0;الدمام;القرية الشعبية
تجربة موفقة;1;الدمام;القرية الشعبية
بغض النظر الاسعار رغبنا بالجلوس الغرف الارضية وفوجئنا بالرفض القاطع لسبب سخيف ويعطي دلالات;0;الدمام;القرية الشعبية
دخول النفر بعشرين الجلسات الخاصة بخمسين مهزلة ولأعمرها صارت نجمه واحده وكثير لأنصح الزيارة;0;الدمام;القرية الشعبية
الاكل طعمه مره عادي;2;الدمام;القرية الشعبية
الكميه مره قليله السعر للجودة مبالغ;0;الدمام;القرية الشعبية
 أراي مناسب صراحه;1;الدمام;القرية الشعبية
وتدفع دخوليه للشخص الدخول وقبل الطلب شان متحف;0;الدمام;القرية الشعبية
للأسف فخامه المبنى برا لاكن الداخل اقل عادي والمبلغ الواحد بريال;0;الدمام;القرية الشعبية
معقوله ادخل وادفع وبالأخير ادفع مره ثانيه ليش ما تنخصم فاتورة الغدا ليش ادفع دخوليه وانا جايه تغدا ايش هالنصب واخر مره ادخله;0;الدمام;القرية الشعبية
شيء وغريب للغاية والله اب ومعه حرمتين دخلوا دفعوا دخلو الاكل وبنفس يدفعون وبسبب انشغال المحاسب معهم والعامل تبع درجة الحرارة;0;الدمام;القرية الشعبية
للأسف الشديد تصميم القلعة يطمس تراث المنطقة الشرقية فوجودها بحر الخليج العربي يتناسب اللون التراث احترامي لجميع الحضارات لكل منطقة تراث نفتخر بوجوده ليناسب المكان;0;الدمام;القرية الشعبية
يعيبه سعر الدخول للشخص والغرف تدخل قيمه الطلبات;0;الدمام;القرية الشعبية
ورسوم دخول لكل شخص كثير;0;الدمام;القرية الشعبية
يازين ماك;1;الدمام;القرية الشعبية
والله نصيحه اخ الاكل ما يسوى ربع السعر والطعم الله وكيلك ;0;الدمام;القرية الشعبية
المكان عادي;2;الدمام;القرية الشعبية
وسعر الدخول;0;الدمام;القرية الشعبية
الاكل لذيذ;1;الدمام;القرية الشعبية
دخلت ونسيت الجوال فالسيارة خرجت ودخلت ادفع رسوم للأسف بضيع فلوسه يروح;0;الدمام;القرية الشعبية
وبعد طول اكتشفت وجود خطا الطلب لصالح المطعم والله المستعان;0;الدمام;القرية الشعبية
مبالغ الدخول النفر يعني العائلة انفار دخول طبعا المكان وتحب تأخذ راحتك غرفة الغرفة يعني وانت تشرب ماء نوع الاكل زائد الغازيات;0;الدمام;القرية الشعبية
والاكل حقهم عادي;2;الدمام;القرية الشعبية
الديكور العمالة البنغالية زفت ;0;الدمام;القرية الشعبية
طلبت النصاص دجاج برياني وتفاجأت الصحن كبير اكبر بقية صحون المطاعم العادية الكمية قليل الصحن تكفي شخص;0;الدمام;القرية الشعبية
كذابين واسعار خياليه;0;الدمام;القرية الشعبية
رسوم الدخول للشخص بالإضافة للجلسات سلامات عشان ادخل ادفع رسوم وعشان اجلس ادفع رسوم الطلب استغلال فضيع;0;الدمام;القرية الشعبية
اسعارهم مرة غالية الدخول بعشرين سلامات القرية العالميندبي القرية العالمية فرق الاسعار;0;الدمام;القرية الشعبية
تسعيرة الدخول بدائيه بامكانه اخذها بطريقه احترافيه طريق الطلب المتحف ممنوع الشورت للأسف;0;الدمام;القرية الشعبية
واسعار للأسف وبكل اسف انواع الجشع والاستغلال;0;الدمام;القرية الشعبية
المكان يتطور اطلاقا واسعار لتتناسب المستوى;0;الدمام;القرية الشعبية
لا يوجد محلات للعبايات ومكان ناقص للخدمات;0;الدمام;القرية الشعبية
 المستوى المكان جيد;1;الدمام;القرية الشعبية
الاكل مو كذا ومبالغ اسعارهالعماله;0;الدمام;القرية الشعبية
خرجت لمطعم اخر افضل بنفس قيمة الدخول ;2;الدمام;القرية الشعبية
لا انصح اخذوا علينا للدخول للفرد ودخلنا وعند اختيارنا للغرفة رفض الموظف بقيمة ;0;الدمام;القرية الشعبية
الاكل يتأخر نصف ساعة مدري ليه علما لا يوجد زحمة مطعم;0;الدمام;القرية الشعبية
يوجد رسوم دخول والاسعار غالية والخدمة سيئة واحضروا الطعام بارد;0;الدمام;القرية الشعبية
الاكل لذيذ;1;الدمام;القرية الشعبية
كميات الاكل استغلالين ناحية اخذ مبلغ الدخول ومبلغ الغرفة اضافة فاتورة الوجبة;0;العلا;بلدة العلا القديمة
استغلال موب طبيعي حسبي الله;0;العلا;بلدة العلا القديمة
واستغلال رسوم الدخول;0;العلا;بلدة العلا القديمة
نص نجمة وتخب رسوم وش مدري ابي مطعم انا ما بي اشوف متحفكم المغبر وشي مكرر ابي ادخل المتحف حق تأخذ رسوم جت عايلة كبيرة يدفعون الاكل الله يديم النعمة والخدمة سيئة والاكل يتاخر فرعكم القديم نهايتكم الحلوة;0;العلا;بلدة العلا القديمة
المطعم للامانه ممتاز ??;1;العلا;بلدة العلا القديمة
للاسف زفت وتعاملهم زفت خصوصا ماجابو المغربي وحطوه الباب تخيلو جيتهم ومعي الوالده كبيره بالعمر الغرف فاضيه يقول اجلس طاوله برا كنتو اربعه تخيلو تحول المطعم ;0;العلا;بلدة العلا القديمة
ناس تستقبلك بابتسامه;1;العلا;بلدة العلا القديمة
مبالغ بالاسعار والدخول وخدمته سيئة;0;العلا;بلدة العلا القديمة
الدخول والغرفة الاكل ههههه;0;العلا;بلدة العلا القديمة
الموقع بعيد شاطئ نصف القمر الشاطئ الخاص صغير يوجد ما يميزه والغرف بعيده الشاطئ;0;الدمام;القرية الشعبية
كرامه الزبون مكسب وقت الذروة ما وجدت الزحمة تستاهل انك تحط تقرا اللائحه وتسد نفسي الحساب الاكل سلامات مطاعم اللحين اعجبك الاكل قالت تفضل غيره لا تدفع الاحترام وانتم سنه تعلمتم لا انصح ابد لأنك بتجي وتشوف تعامل اسوا الستاف كله الاكل لذيذ ما تقدر تقيمه;0;العلا;بلدة العلا القديمة
اسوا ادارة وانظمة شاهتها المطعم يمنعون الاطفال الجلوس الجلسات جلسنا وامام الاطفال قومونا ممنوع تحكم منطقي نفسيا الاطفال والدخول للفرد ترغب بالمتحف واخلاق تعبانة الوظف;0;العلا;بلدة العلا القديمة
المكان يعكس تراث وحضاره بلدنا الطابق الارضي بالتحديد مرضي;0;العلا;بلدة العلا القديمة
سعر الدخول للشخص والاكل اقل عادي طبلي مصقعه اقيمها;0;العلا;بلدة العلا القديمة
للأسف البيك المنطقة الشرقية ادارتهم فاشله موظف الفرع رئيسهم فاشل عشان تشتري تحتاج ساعه قدامك شخص طابور نص ساعه والكاشير بطيء دقائق قدامك اشخاص واللي يجهز الطلب يأخذ نص;0;الدمام;القرية الشعبية
ياخي مو اجبار ادفع ابي اتفرج ابي اكل وامشي تغصبني ال حرام;0;العلا;بلدة العلا القديمة
للأسف انتظرنا بفارغ الصبر افتتاح مكانهم الجديد للهرب رسم دخول الشخص الواحد المبنى القديم لنتفاجأ برسم دخول للشخص الواحد البوابة مثار جدال ونزاع يريد الدخول بعائلته وعمالة المطعم;0;العلا;بلدة العلا القديمة
للأسف مكان همه جيبك استغلال للعائلات فاضح وواضح رسوم الدخول للشخص للجلسة الواحدة طلب يعرف العائلات اعدادهم كبيره ويستغل النقطة مقاطعه للطمع والطماعين الفرع القديم الدخول ولاحقا الغاها العزوف والمقاطعة وصار الدخول مجانا مقاطعه;0;العلا;بلدة العلا القديمة
لذيذ فرش ??;1;العلا;بلدة العلا القديمة
اكلهم يابس ;0;العلا;بلدة العلا القديمة
اسواء المطاعم اللي مريتها حياتي غالين واكلاتهم بدون ملح وغير مطبوخه بالشكل الصحيح توازي المطاعم الثانيه اللي تقدم الوجبات;0;العلا;بلدة العلا القديمة
شي سيئ بداية الحجز فالتطبيق لمطعم اكمي الساعه وشمس وقرف وحر ويوم وصلنا قالو المطعم متقفل ما يفتح الشي الجولف رفض يدخلنا المطعم بحجة شمس نمشي والمكان فاضي تجربتي سيئة للأسف تنعاد اتمنى المشرفين والقائمين المكان الموظف برا يعرف وش اللي يفتح والي يقفل;0;العلا;بلدة العلا القديمة
تجربة زي الزفت احترامي للقراء جيت الساعة العصر يعنني منظمين برا باصات توصيل ومنظمين للسير وخرابيط;0;العلا;بلدة العلا القديمة
يفتقر المكان لكثير عناصر الجذب;0;العلا;بلدة العلا القديمة
كوفيهات غاليه اسعار مبالغ;0;العلا;بلدة العلا القديمة
المنظمين المواقف يبغالهم تدريب احترام الناس عينات تسيئ لسمعه البلدة القديمة يطردنا المواقف مزاجيه اقوله ليهمكاني نظامي وبدفع فلوس يقولي ابيك تدخل مزاجيه اعتبره موقف ابوي;0;العلا;بلدة العلا القديمة
اهتمو شوي بالسياح اقلها يجي الاماكن بعباية شال الراس يغطي الشعر مو لهدرجة الانفتاح;0;العلا;بلدة العلا القديمة
حاطين مكتب لسياح وطلبت منهم عربية عشان اخوي ذوي الهمم دقيقة انتظر عشان يجي جاء يعني المفروض مجهزه اضطريت امشي انا واخوي;0;العلا;بلدة العلا القديمة
للأسف الشديد المقاهي اللي الطراز الحديث واللي المفروض قديمة تراثية تتماشى الموقع نظري تطابق مبالغة الاسعار;0;العلا;بلدة العلا القديمة
تنقصها خدمات كثيره والاسعار مرتفعة ولاتوجد خدمات وعدم التقيد بالاحترازات;0;العلا;بلدة العلا القديمة
للأسف شي مقفل جاين مسافه كيلو ويقولو مقفل وحتى الحجز مهو الموقع الهيئة الملكيه الصراحه تنظيم سيء الاماكن مقفله ما في الفيل;0;العلا;بلدة العلا القديمة
الاسعار مبالغ مويه وب والارض مستويه ونصف المكان حصى وتراب يوجد سيارة جولف لنقل الكبار والمواقف وافره;0;العلا;بلدة العلا القديمة
ما في لوحات ارشاديه لتعرف المعالم التاريخية تعرف الطرق السله الصعبه مرا مهمله;0;العلا;بلدة العلا القديمة
اسعارهم مبالغ بقوه حبة دجاج المشكله اكلت جاب الفاتورة شكلها البيضه الذهبيه تجيبها دجاجه دجاجة تجيب بيضه وحده ذهبيه;0;العلا;بلدة العلا القديمة
مطاعم غاليه وكشكات السلع الموجوده غاليه والاكل مو لذيذ ويعتبر مكان طور الانشاء عمال البنا كثير المفروض انتظرو الانتهاء العمل;0;العلا;بلدة العلا القديمة
تحتاج لعمل فعاليات مجال اكبر للتطوير;2;العلا;بلدة العلا القديمة
لم اجد شيء يدل تراث العلا الاصيل;0;العلا;بلدة العلا القديمة
مرض هالبلده خساره الروحه ما تستحق ابد ولانجمه الدخول بفلوس سلامات وش تجربه اكررها;0;العلا;بلدة العلا القديمة
حرر يجي يجي;0;العلا;بلدة العلا القديمة
اسعار مبالغ ولى شي;0;الرياض;بوليفارد الرياض
تفتقد للقهاوي والمطاعم قهوتين ومطعم وماتكفي للزوار;0;الرياض;بوليفارد الرياض
السعار مبالغ;0;الرياض;بوليفارد الرياض
لا يوجد خدمات وحتى التذاكر لا توجد المدخل والحجز مسبق والاجراءات ضعيفة;0;الرياض;بوليفارد الرياض
غلاء الاسعار شي لا يصدق;0;الرياض;بوليفارد الرياض
الاسعار اقل وخيارات المطاعم اضافة الفود;0;الرياض;بوليفارد الرياض
يحتاج مزيدا الكافهات والمطاعم لوجود الزوار;2;الرياض;بوليفارد الرياض
للأسف الشديد عجبني المقاهي اللي الطراز الحديث واللي المفروض قديمة تراثية تتماشى الموقع نظري تطابق مبالغة الاسعار;0;الرياض;بوليفارد الرياض
مظلمة لا انصح باصطحاب الاطفال;0;الرياض;بوليفارد الرياض
ينقصها الكثير الخدمات;0;الرياض;بوليفارد الرياض
اسعار غالية للكفيهات;0;الرياض;بوليفارد الرياض
لا توجد خدمة اسعار مبالغة;0;الرياض;بوليفارد الرياض
اماكن للاطفال يوجد;0;الرياض;بوليفارد الرياض
وصلته مغلق للصيانه للاسف;0;الرياض;بوليفارد الرياض
غلاء السكن;0;الرياض;بوليفارد الرياض
الاستقبال الاخراج المحتوي سي;0;الرياض;بوليفارد الرياض
التنظيم سيئ والبنيه;0;الرياض;بوليفارد الرياض
ياريت اهتمام;2;الرياض;بوليفارد الرياض
يحتاج وقفة جاده المحافظ;2;الرياض;بوليفارد الرياض
تحتاج تطوير;2;الرياض;بوليفارد الرياض
يوجد مطاعم كثيره يوجد ستاربكس ادوار اشوفه يستاهل العنوه;1;الرياض;بوليفارد الرياض
مجمع عادي ;2;الرياض;بوليفارد الرياض
ما في شي ما يصلح نادي وكم مطعم;0;الرياض;بوليفارد الرياض
صغير مطعم بس;0;الرياض;بوليفارد الرياض
موقع مقاهي مزدحم صغير;0;الرياض;بوليفارد الرياض
حلو المكان;1;الرياض;بوليفارد الرياض
زحمة مزعجه بالنسبه لضيق وصغر المكان;0;الرياض;بوليفارد الرياض
مكان سيء والحقيقه يروح المكان يدور الشيطان;0;الرياض;بوليفارد الرياض
خايس ما في شي يستاهل تدفع فلوس تلاقي ناس زباله اهمال شي غيرك العينات اللي تجيب المرض اعوذ بالله;0;الرياض;بوليفارد الرياض
يستحق الذهاب;1;الرياض;بوليفارد الرياض
وحلوياته عاديه قطعة الكنافه;2;الرياض;بوليفارد الرياض
سعره نار ;0;الرياض;بوليفارد الرياض
اجمالا جيد الصيحة تواكب المولات بهذه الطريقة ??;1;الرياض;بوليفارد الرياض
اعتقد نو بزنس ازدحام خارجي واغلبية تثمن اللهم اصلح احوالنا واحوال المسلمين;0;الرياض;بوليفارد الرياض
موقع صغير للاسف وشبه انتهى يرجع مجده بوجود فرع ستاربكس;0;الرياض;بوليفارد الرياض
قمة السذاجة تقول عرض ازياء نسال الله العافية ما ترتاح ابد للمكان المضايقات;0;الرياض;بوليفارد الرياض
اسعار مرتفعه الفاضي;0;الرياض;بوليفارد الرياض
ما نصح ابدد والمطاعم قبيحه والممشى صغير والمكان صغير;0;الرياض;بوليفارد الرياض
الموقع صغير ومزدحم يوجد المطاعم والكوفيهات;0;الرياض;بوليفارد الرياض
الصراحه المكان مايستاهل والابيخ انهم ياخذون رسوم عشان تشتري المنتجات المحليه والمكان جداضيق ما يسوى ينعمل مهرجان;0;الرياض;بوليفارد الرياض
مكان فئه معينه البعض يمثل يمثلنا الشباب وايضا البنات الغير محتشمات ومناظرهم المقرفه الله يهديهم ويصلحهم يارب بطبيعة الحال المكان اغلبه شباب وبنات;0;الرياض;بوليفارد الرياض
يوجد اماكن للاستراحة;0;الرياض;بوليفارد الرياض
انصح بزيارته ????;1;الرياض;بوليفارد الرياض
حق مبزره ممل ما فيه فعاليات;0;الرياض;بوليفارد الرياض
كثيرررره النجمه زحمه وهمج وقلة حياء والمطاعم والكوفيهات اللي ما تسوى العنوه خاصه سوق الشتاء اوفر الزحمة والشوارع مسكره;0;الرياض;بوليفارد الرياض
ما اعجبني بصراحه والله النجمه تخب استغفر الله;0;الرياض;بوليفارد الرياض
زحمة اكره الاماكن;0;الرياض;بوليفارد الرياض
زحمة مواقف تنظيم الناس تدف;0;الرياض;بوليفارد الرياض
اكره الهيلق تميلح قلت ادب;0;الرياض;بوليفارد الرياض
للاسف ازعاج ومكان ضيق للماره يسبب انتشار الامراض وكارونا منظم تاخذين مساحه للمعرض ونسوا الماره المطاعم ضيق زحمه علشان المهرجان واحواض الازهار مضيقه نسوي مهرجان نوسع المساحه ونبعد الحاجز شوي صراحه فوضى كثر الناس;0;الرياض;بوليفارد الرياض
ابغض البقاع الله اسواقها حديث صحيح;0;الرياض;بوليفارد الرياض
معفن وصغير وماقي شي الدشر;0;الرياض;بوليفارد الرياض
يرتاده كبير حثالة المجتمع;0;الرياض;بوليفارد الرياض
صولات وجولات قبلة التميلح والغزلنجية ونظام شفني واشوفك;0;الرياض;بوليفارد الرياض
كثر سمعت كنت احسبه احسن مكان بالرياض توقعت خايس لهالدرجة;0;الرياض;بوليفارد الرياض
نقطة تجمع للمطعسه والهمج والمعقوليات السطحيه;0;الرياض;بوليفارد الرياض
المكان رائع مناسب للعوائل المحافظة ;1;الرياض;بوليفارد الرياض
منكرات نساء سافرات ازعاج دبابات المطاعم والكوفيات بدون سواتر سيكون بورة فساد جديده مدينة الرياض;0;الرياض;بوليفارد الرياض
سيئ ولن اذهب مره;0;الرياض;بوليفارد الرياض
سمعته خايسه عشان زرته;0;الرياض;بوليفارد الرياض
زحمه زبرقه ما عاد اجيهم الصراحة;0;الرياض;بوليفارد الرياض
سيئ يعجبني طبقة ومظاهر الفاضي;0;الرياض;بوليفارد الرياض
سيء لا انصح بزيارته;0;الرياض;بوليفارد الرياض
السبب الوحيد وجود مصلى مهيا للاسف شي مكان الصلاة منسي لابد مصلى مغلق مناسب للتقلبات المناخيه ويعزل صوت السماعات الخارجيه منطقي مكان الصلاة سجاد الارض مطعم وبجانب دورات المياه اتمنى النظر;0;الرياض;بوليفارد الرياض
البداية حبيت انقل تجربتي تجربه سيئه وكثير غيري مستاء خصوصا دخول الاطفال اقل مجانا وعند الدخول;0;الرياض;بوليفارد الرياض
والايام المجانية وبعد الساعة الليل يوجد الايام تنظيم;1;الرياض;بوليفارد الرياض
السلبيات مزدحم المناسبات ;0;الرياض;بوليفارد الرياض
الدخول مجاني العيد دخلنا بدون تذاكر بدون توكلنا;1;الرياض;بوليفارد الرياض
يوجد تنظيم خصوصا المطاعم اكرر الزيارة لانه يستحق دفع يوجد لوحات ارشادية ??;1;الرياض;بوليفارد الرياض
مزدحم خصوصا منطقة المطاعم منطقة الموسيقى ;0;الرياض;بوليفارد الرياض
وضع نجمتين الاستغلال اسعار القولف كار للتنقل خصوصا فترة الصيف لساعتين استغلال واضح;0;الرياض;بوليفارد الرياض
 الاخر اود اوضح شيء مهم مواقف السيارات انا شخصيا تعبت وصلت عموما مواقف كبار الشخصيات وبسعر اظن وهناك مواقف بسعر لليوم كله وهذه طبعا وانته جاي;1;الرياض;بوليفارد الرياض
اتكلم البوليفارد لانه رائع;1;الرياض;بوليفارد الرياض
المكان بالصيف ما عاد يصلح ياليت يستخدموا مناطق مغلقه ومكيفه للتجديد;0;الرياض;بوليفارد الرياض
